Sample	Condition	Replication	DNAConcentration	Mean16sCount	MicrobesPerGram	RatioBacteroidetesFirmicutes	RawReads	DeduplicatedReads	TrimmedReads	HostRemovedReads	OrphanReads	AbsoluteAbundanceFirmicutes	AbsoluteAbundanceBacteroidetes	AbsoluteAbundanceActinobacteria	AbsoluteAbundanceOtherBacteria	AbsoluteAbundanceViruses	AbsoluteAbundanceFungi	AbsoluteAbundanceUnclassifiedRoot	AbsoluteAbundanceUnclassified	ShannonEntropy	InverseSimpson	RichnessAbove0.01	RelativeAbundanceFirmicutes	RelativeAbundanceBacteroidetes	RelativeAbundanceActinobacteria	RelativeAbundanceOtherBacteria	RelativeAbundanceViruses	RelativeAbundanceFungi	RelativeAbundanceUnclassifiedRoot	RelativeAbundanceUnclassified
D03-ZF-R3	ZF	R3	14.3	4.533465525	1390941373	0.716986063	72195932	62793312	60570187	48415993	3366019	704852089.5	505369124.9	62121402.57	6860376.251	2782628.992	872974.1755	107500061.2	81074637.98	2.900138316	8.643618311	86	0.506744643	0.363328847	0.04466141	0.004932182	0.002000537	0.000627614	0.077285832	0.058287603
D03-ZH-R1	ZH	R1	5.2	4.318884391	3.98e+11	1.121872064	54885698	47360415	46273449	34768980	1566741	1.59e+11	1.78e+11	19285193839	2653528343	1561491133	237296089	37500495294	28049734367	2.849936846	8.129033434	91	0.398738402	0.447333474	0.048427219	0.006663298	0.003921074	0.000595876	0.094167822	0.070435933
D03-ZH-R3	ZH	R3	12.9	4.386005407	1.79e+12	1.115748956	72986891	62588628	60248172	50770524	3548099	7.35e+11	8.2e+11	76411948901	9475543782	5195598673	993044371.9	1.42e+11	1.07e+11	2.668883693	5.93814318	84	0.410868443	0.458426036	0.042708454	0.005296107	0.002903944	0.000555036	0.079161933	0.060050663
D03-ZR-R1	ZR	R1	3.3	4.363712801	2.44e+11	1.077879581	136957405	109258976	106826782	80951012	3612074	1e+11	1.08e+11	10820427347	1457820758	1168814558	127286943.2	21202428027	15877365363	2.768653733	7.834665659	87	0.412434605	0.44455484	0.044417863	0.005984355	0.004797985	0.000522513	0.087035985	0.065176598
D03-ZR-R2	ZR	R2	3.04	4.352975234	3.47e+11	1.020563765	40667552	35134594	34233774	26705031	1242935	1.44e+11	1.47e+11	20864274533	2087375530	984300184.4	191527437.1	31668790851	23856133870	2.879091903	8.35602404	88	0.415165125	0.423702483	0.060197522	0.006022488	0.002839899	0.000552594	0.091370669	0.068829622
D03-ZR-R3	ZR	R3	8.54	4.232781586	2.07e+11	1.689422539	32034888	28202114	27266064	18618764	1477636	66134382693	1.12e+11	8484302547	1365463779	705560936.4	88698698.96	18938958948	13586048229	2.578064125	5.889942862	84	0.318760983	0.53852199	0.040893473	0.006581396	0.003400732	0.000427519	0.091283852	0.065483368
D04-NF-R1	NF	R1	104	4.61876433	8.51e+11	0.119876657	84212245	73572682	71846115	63980066	2521150	5.8e+11	69553555023	79759423950	10744696670	39281573.36	1412180194	1.1e+11	99039003312	3.302011227	15.94630326	103	0.681418943	0.081686225	0.093672368	0.012618963	4.61e-05	0.001658516	0.128809942	0.116315008
D04-NF-R2	NF	R2	116	4.605192888	1.66e+12	0.113973833	219840481	184422665	178105276	156393331	9518189	1.12e+12	1.28e+11	1.71e+11	18544282299	81459560.74	2730612672	2.18e+11	1.96e+11	3.316202164	15.96550534	104	0.675606026	0.077001409	0.103121285	0.011156867	4.9e-05	0.001642829	0.131324731	0.118124718
D04-NF-R3	NF	R3	96.6	4.605008864	2.27e+13	0.097773126	11652151	10717232	10425683	9269522	419569	1.56e+13	1.53e+12	2.5e+12	2.14e+11	1057787389	35099770039	2.75e+12	2.45e+12	3.236628329	14.63177846	101	0.689550314	0.06741949	0.110561522	0.009455802	4.67e-05	0.001549337	0.121331746	0.107983848
D04-OF-R1	OF	R1	21.6	4.556654902	1.03e+13	0.135073818	54819668	48061628	46797821	40929847	1831501	6.81e+12	9.19e+11	1.18e+12	1.12e+11	439449182.1	17567204192	1.29e+12	1.15e+12	3.317435121	16.09306847	101	0.658839785	0.088992005	0.114518604	0.010816644	4.25e-05	0.001700785	0.125006243	0.111434347
D04-OF-R2	OF	R2	23.2	4.571838654	1.62e+12	0.395650075	67615709	59574551	57952003	42379883	2366520	8.69e+11	3.44e+11	1.15e+11	36376540602	79152085.81	4037080438	2.5e+11	2.24e+11	3.434204061	18.41428387	110	0.537120428	0.212511738	0.070796305	0.022472724	4.89e-05	0.00249403	0.15444314	0.138669879
D04-OF-R3	OF	R3	18	4.546271575	1.58e+12	0.219411914	33804664	31363568	29766727	22312338	2458685	9.66e+11	2.12e+11	1.61e+11	22146633723	72403109.96	2956854354	2.13e+11	1.88e+11	3.368964761	17.36454708	103	0.612701456	0.134433999	0.101992891	0.014043652	4.59e-05	0.001875004	0.134815447	0.11926615
D04-OH-R1	OH	R1	83.2	4.842331837	5.54e+13	0.249351787	39385550	34686487	33811295	25520554	1297637	3.49e+13	8.7e+12	1.9e+12	9.8e+11	4639294432	1.54e+11	8.75e+12	7.95e+12	3.269194161	14.4868319	114	0.629996676	0.157090797	0.034307093	0.017697033	8.37e-05	0.002773893	0.157922695	0.143505552
