Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,label,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
D24,B12,Rep4,Plate1,D01_OF_R1,1-1-3,D01_OF_R1_Rep4,D24 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D3,B2,Rep3,Plate1,D08_OR_R1,1-1-12,D08_OR_R1_Rep3,D3 Well,false,Sample,16S,Unknown,SYBR,11.646026139479051,0.9222420836931062,3.50469646467003,Amp,false,3,6,NA,NA
D4,B2,Rep4,Plate1,D08_OR_R1,1-1-12,D08_OR_R1_Rep4,D4 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D5,B3,Rep3,Plate1,PCO_B1_R1,1-1-15,PCO_B1_R1_Rep3,D5 Well,false,Sample,16S,Unknown,SYBR,14.973959587223906,0.9520315703481068,3.43686036498571,Amp,false,3,7,NA,NA
D6,B3,Rep4,Plate1,PCO_B1_R1,1-1-15,PCO_B1_R1_Rep4,D6 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D7,B4,Rep3,Plate1,D10_ZH_R1,1-2-8,D10_ZH_R1_Rep3,D7 Well,false,Sample,16S,Unknown,SYBR,18.146853182472114,0.9142403623220705,3.38715269361968,Amp,false,3,9,NA,NA
D8,B4,Rep4,Plate1,D10_ZH_R1,1-2-8,D10_ZH_R1_Rep4,D8 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
D9,B5,Rep3,Plate1,D07_NF_R1,1-2-5,D07_NF_R1_Rep3,D9 Well,false,Sample,16S,Unknown,SYBR,12.21019673122273,0.7554294360673147,3.48259169861081,Amp,false,3,6,NA,NA
E1,C1,Rep1,Plate1,D05_NF_R1,1-4-19,D05_NF_R1_Rep1,E1 Well,false,Sample,16S,Unknown,SYBR,12.584840890892863,0.8917184856602455,3.44052046153865,Amp,false,3,6,NA,NA
E10,C5,Rep2,Plate1,D05_ZR_R1,1-3-11,D05_ZR_R1_Rep2,E10 Well,false,Sample,16S,Unknown,SYBR,Undetermined,0,NA,Inconclusive,false,3,39,NA,NA
E11,C6,Rep1,Plate1,D08_OF_R1,1-4-12,D08_OF_R1_Rep1,E11 Well,false,Sample,16S,Unknown,SYBR,13.238755411030336,0.9163092546313116,3.46693873569137,Amp,false,3,6,NA,NA
E12,C6,Rep2,Plate1,D08_OF_R1,1-4-12,D08_OF_R1_Rep2,E12 Well,false,Sample,16S,Unknown,SYBR,13.193809413038618,0.9196833458219479,3.46942381189164,Amp,false,3,6,NA,NA
E13,C7,Rep1,Plate1,standardF_10,000,000,NA,standardF_10,000,000_Rep1,E13 Well,false,Sample,16S,Unknown,SYBR,21.913213783351473,0.9472028917133047,3.47483874868534,Amp,false,3,11,NA,NA
E14,C7,Rep2,Plate1,standardF_10,000,000,NA,standardF_10,000,000_Rep2,E14 Well,false,Sample,16S,Unknown,SYBR,22.016246533198128,0.9511274146675024,3.4596032782595,Amp,false,3,12,NA,NA
E15,C8,Rep1,Plate1,D09_OF_R1,1-1-13,D09_OF_R1_Rep1,E15 Well,false,Sample,16S,Unknown,SYBR,12.447895797436079,0.9023553375555694,3.47400314229722,Amp,false,3,6,NA,NA
E16,C8,Rep2,Plate1,D09_OF_R1,1-1-13,D09_OF_R1_Rep2,E16 Well,false,Sample,16S,Unknown,SYBR,12.379118022760778,0.8986332949240566,3.50700052443514,Amp,false,3,6,NA,NA
E17,C9,Rep1,Plate1,water_2,NA,water_2_Rep1,E17 Well,false,Sample,16S,Unknown,SYBR,19.152797228521806,0.9488679289280096,3.41715394345982,Amp,false,3,10,NA,NA
E18,C9,Rep2,Plate1,water_2,NA,water_2_Rep2,E18 Well,false,Sample,16S,Unknown,SYBR,27.646719434083806,0.8799432446190858,3.45602634559508,Amp,false,3,14,NA,NA
E19,C10,Rep1,Plate1,standardF_10,NA,standardF_10_Rep1,E19 Well,false,Sample,16S,Unknown,SYBR,6.448017965076956,0.9886222433953146,3.40704515101257,Amp,false,3,3,NA,NA
E2,C1,Rep2,Plate1,D05_NF_R1,1-4-19,D05_NF_R1_Rep2,E2 Well,false,Sample,16S,Unknown,SYBR,12.401215016898504,0.8988688069649974,3.49651838022821,Amp,false,3,6,NA,NA
E20,C10,Rep2,Plate1,standardF_10,NA,standardF_10_Rep2,E20 Well,false,Sample,16S,Unknown,SYBR,5.2025965954712206,0.9725550873254273,3.47115179765301,Amp,false,3,3,NA,NA
E21,C11,Rep1,Plate1,D01_ZF_R1,1-4-16,D01_ZF_R1_Rep1,E21 Well,false,Sample,16S,Unknown,SYBR,12.983297511787939,0.9226197492115201,3.4937020226368,Amp,false,3,6,NA,NA
E22,C11,Rep2,Plate1,D01_ZF_R1,1-4-16,D01_ZF_R1_Rep2,E22 Well,false,Sample,16S,Unknown,SYBR,12.923300276200383,0.9219993868884538,3.49520993334377,Amp,false,3,6,NA,NA
E23,C12,Rep1,Plate1,D01_OH_R1,1-3-16,D01_OH_R1_Rep1,E23 Well,false,Sample,16S,Unknown,SYBR,11.917971155369916,0.9354020337617606,3.49623308208277,Amp,false,3,6,NA,NA
E24,C12,Rep2,Plate1,D01_OH_R1,1-3-16,D01_OH_R1_Rep2,E24 Well,false,Sample,16S,Unknown,SYBR,12.332510060812151,0.9289649121391983,3.48393859959162,Amp,false,3,6,NA,NA
E3,C2,Rep1,Plate1,D05_OF_R1,1-1-10,D05_OF_R1_Rep1,E3 Well,false,Sample,16S,Unknown,SYBR,11.616926035056807,0.9039388807697206,3.51859830981439,Amp,false,3,6,NA,NA
E4,C2,Rep2,Plate1,D05_OF_R1,1-1-10,D05_OF_R1_Rep2,E4 Well,false,Sample,16S,Unknown,SYBR,11.90205577713591,0.9110970697358928,3.46343084715668,Amp,false,3,6,NA,NA
E5,C3,Rep1,Plate1,D07_ZR_R1,1-1-17,D07_ZR_R1_Rep1,E5 Well,false,Sample,16S,Unknown,SYBR,15.159824681102858,0.8754331227523652,3.46059574394246,Amp,false,3,7,NA,NA
E6,C3,Rep2,Plate1,D07_ZR_R1,1-1-17,D07_ZR_R1_Rep2,E6 Well,false,Sample,16S,Unknown,SYBR,15.296707571795661,0.884867810226603,3.4653646667958,Amp,false,3,8,NA,NA
E7,C4,Rep1,Plate1,D05_OH_R1,1-3-4,D05_OH_R1_Rep1,E7 Well,false,Sample,16S,Unknown,SYBR,12.092434110577347,0.7528269468558324,3.47602811504014,Amp,false,3,6,NA,NA
E8,C4,Rep2,Plate1,D05_OH_R1,1-3-4,D05_OH_R1_Rep2,E8 Well,false,Sample,16S,Unknown,SYBR,12.337868299278735,0.9090118366054151,3.4718556066817,Amp,false,3,6,NA,NA
E9,C5,Rep1,Plate1,D05_ZR_R1,1-3-11,D05_ZR_R1_Rep1,E9 Well,false,Sample,16S,Unknown,SYBR,17.0413674993752,0.8584398364607894,NA,Amp,false,3,8,NA,NA
F1,C1,Rep3,Plate1,D05_NF_R1,1-4-19,D05_NF_R1_Rep3,F1 Well,false,Sample,16S,Unknown,SYBR,12.55747222435248,0.8942216435208978,3.47864162046542,Amp,false,3,6,NA,NA
F10,C5,Rep4,Plate1,D05_ZR_R1,1-3-11,D05_ZR_R1_Rep4,F10 Well,true,Sample,16S,Unknown,SYBR,Undetermined,Undetermined,NA,N/A,false,0,0,NA,NA
