Ascomycota	Basidiomycota	Proteobacteria	Verrucomicrobia	Lentisphaerae	Firmicutes	Actinobacteria (201174)	Bacteroidetes
D01-ZH-R2	-2.9392	-4.9842	1.3439	0.1579	-8.6952	7.2914	1.4226	6.4028
D10-ZR-R3	-2.5571	-4.9434	0.7431	-3.1299	-10.2784	7.7482	4.3257	8.0918
D05-OR-R3	-2.8331	-5.1	1.2146	0.1817	-8.9608	6.1061	3.5774	5.8142
D05-ZH-R1	-2.8138	-5.1431	1.4629	0.5321	-8.5965	5.709	3.0429	5.8065
D03-OR-R1	-2.8004	-4.6677	1.0831	-1.9741	-8.7965	6.5933	3.2036	7.3587
D04-OH-R2	-2.4898	-4.6906	-0.8397	-2.6283	-1.0728	5.8364	2.2279	3.6571
D09-OF-R1	-3.2531	-5.6832	3.2124	-6.2199	-2.3942	5.7728	2.4466	6.1187
D08-ZF-R1	-2.9015	-4.9576	1.5668	-1.906	-9.1023	7.4403	2.3847	7.4756
D01-OF-R1	-3.0488	-5.1424	1.2057	0.2625	-8.9963	7.2186	2.0495	6.4511
D03-OH-R1	-2.7287	-4.5609	0.9343	-2.7193	-9.0742	7.1308	3.8547	7.1634
D10-ZH-R3	-2.3086	-4.7258	1.3856	-2.8242	-10.2821	7.4987	2.6812	8.5752
D01-ZF-R2	-2.7964	-4.9408	0.9731	0.1507	-9.3693	7.6814	2.2641	6.0373
PCO-B2-R1	2.1095	-0.8201	9.9669	-6.3388	-9.1412	8.6952	-0.6977	-3.7738
D04-NF-R1	-3.0388	-5.0393	-0.9732	-2.5564	-0.9524	6.1294	3.3196	3.1111
D06-OF-R3	-2.7448	-4.8268	-0.195	-4.1564	-8.5776	7.9186	5.3062	7.2759
D09-OH-R2	-3.3769	-5.7709	3.3124	-6.2748	-2.7054	6.4099	2.685	5.7207
D08-OF-R3	-2.8518	-4.9908	1.5841	-1.9934	-9.0762	7.2749	2.6166	7.4366
D04-OR-R3	-2.7485	-4.9003	-0.9288	-2.8748	-1.2209	6.0347	3.3382	3.3004
D10-OF-R3	-2.5512	-4.7655	0.4703	-3.229	-10.8537	7.8478	4.7599	8.3215
D06-ZF-R1	-2.6991	-4.8307	-0.2025	-3.9141	-8.8487	7.7504	5.2812	7.4635
D05-ZF-R1	-2.8941	-5.1609	1.1211	0.2366	-8.6105	6.1413	3.5535	5.613
D06-OF-R1	-2.7066	-4.7875	0.7634	-4.5657	-9.3055	7.5619	4.6961	8.344
D03-ZR-R1	-3.0286	-4.9541	0.8752	-2.6118	-8.3415	7.0363	3.8349	7.1896
D09-ZR-R3	-3.2951	-5.7908	3.3636	-6.3829	-2.7964	6.1744	2.71	6.0172
D01-ZF-R3	-3.1979	-5.2667	1.5509	1.245	-9.3297	7.1318	0.8669	6.9997
D03-ZH-R3	-2.9717	-4.7542	0.7887	-2.3176	-8.8502	7.0551	3.8044	7.2455
D07-OH-R2	-3.596	-5.8854	3.0042	-5.9176	-1.6145	6.7939	1.6182	5.5973
D09-NF-R2	-3.3165	-5.771	3.2161	-6.6816	-2.5364	6.557	3.3326	5.1999
