Saccharomyces cerevisiae	Cryptococcus neoformans	Acinetobacter baumannii	Pseudomonas aeruginosa	Escherichia coli	Salmonella enterica	Azospirillum sp. 51_20	Sutterella wadsworthensis	Akkermansia muciniphila	Lentisphaeria bacterium	Firmicutes bacterium CAG:94	Firmicutes bacterium CAG:103	Staphylococcus aureus	Bacillus subtilis	Listeria monocytogenes	Streptococcus thermophilus	Lactobacillus fermentum	Enterococcus faecalis	uncultured Clostridium sp.	Clostridium sp. CAG:138	Clostridium sp. CAG:217	Clostridium sp. CAG:354	Clostridium sp. CAG:356	Clostridium sp. 28_12	Clostridiaceae bacterium	uncultured Clostridiales bacterium	Butyrivibrio crossotus	Roseburia intestinalis	Roseburia faecis	Roseburia inulinivorans	Roseburia sp. CAG:50	Coprococcus eutactus	Coprococcus catus	Coprococcus comes	Coprococcus sp. CAG:131	Coprococcus sp.	Coprococcus sp. AF16-22	Coprococcus sp. AF16-5	Coprococcus sp. AF38-1	[Eubacterium] rectale	Lachnospiraceae bacterium	Dorea longicatena	Anaerostipes hadrus	[Ruminococcus] gnavus	[Ruminococcus] torques	Blautia obeum	Blautia wexlerae	uncultured Blautia sp.	Blautia sp. AF19-1	Blautia sp. BIOML-A1	Fusicatenibacter saccharivorans	[Eubacterium] eligens	Eubacterium ramulus	Eubacterium sp. CAG:202	Eubacterium sp. CAG:251	Eubacterium sp. CAG:86	Eubacterium sp.	Oscillibacter sp.	Oscillospiraceae bacterium UBA6359	Oscillospiraceae bacterium UBA6409	Ruminococcus callidus	Ruminococcus lactaris	Ruminococcus bicirculans	uncultured Ruminococcus sp.	Ruminococcus sp. AM28-13	Gemmiger formicilis	Faecalibacterium prausnitzii	Faecalibacterium sp. CAG:82-related_59_9	Faecalibacterium sp.	Faecalibacterium sp. AF27-11BH	Faecalibacterium sp. BIOML-A1	Subdoligranulum sp. 60_17	Ruminococcaceae bacterium	Clostridiales bacterium	Clostridiales bacterium UBA7739	Clostridiales bacterium CCNA10	Coprobacillus sp. AF21-8LB	Erysipelotrichaceae bacterium	Megamonas funiformis	Megamonas rupellensis	Megamonas sp. Calf98-2	Phascolarctobacterium faecium	Megasphaera massiliensis	Dialister invisus CAG:218	Dialister sp. Marseille-P5638	Firmicutes bacterium CAG:65_45_313	Firmicutes bacterium AF22-6AC	Bifidobacterium adolescentis	Bifidobacterium animalis	Bifidobacterium pseudocatenulatum	Bifidobacterium longum	Collinsella aerofaciens	Collinsella stercoris	Bacteroides thetaiotaomicron	Bacteroides uniformis	Bacteroides vulgatus	Bacteroides eggerthii	Bacteroides ovatus	Bacteroides stercoris	Bacteroides caccae	Bacteroides massiliensis	Bacteroides cellulosilyticus	Bacteroides plebeius	Bacteroides coprocola	Bacteroides intestinalis	Bacteroides dorei	Bacteroides xylanisolvens	Bacteroides faecis	Bacteroides mediterraneensis	Bacteroides cellulosilyticus CAG:158	Bacteroides coprocola CAG:162	Bacteroides sp.	Bacteroides sp. UNK.MGS-14	Bacteroides sp. NMBE5	Bacteroides sp. AF39-10AT	Bacteroides sp. AM16-15	Bacteroidaceae bacterium	Alistipes putredinis	Alistipes finegoldii	Alistipes onderdonkii	Alistipes shahii	Alistipes senegalensis	Alistipes finegoldii CAG:68	Alistipes putredinis CAG:67	Alistipes sp.	Alistipes sp. 3BBH6	Prevotella copri	Prevotella sp.	Prevotella sp. AM23-5	Odoribacter splanchnicus	Barnesiella intestinihominis	Parabacteroides distasonis	Parabacteroides merdae	Parabacteroides massiliensis
D07-OH-R3	-11.0598	-9.4684	-1.9129	-3.6506	-0.4145	-3.0618	7.1811	-8.7445	-2.4247	2.6567	-4.1048	1.2869	1.4425	-6.8888	-7.8323	-1.5994	-4.8257	-3.2903	4.3761	-5.1168	-7.9223	-7.4134	-3.1536	-6.8238	3.4153	3.6609	-2.9003	-0.8212	-0.1095	-0.9452	1.7847	3.7362	2.0879	3.2634	3.7025	3.7177	3.5934	3.0981	1.3705	6.7095	4.9933	3.7778	3.9855	1.6323	2.8036	3.2148	4.4664	5.5312	3.0702	1.9854	4.0756	3.5686	2.2433	-4.7486	-6.3969	1.4681	2.6898	4.4637	-3.4905	-5.4185	2.7618	4.2177	2.598	4.2209	7.4829	5.8144	8.542	3.7183	4.082	2.6936	2.8799	3.9295	7.6738	3.9858	-1.0721	-0.601	3.4474	-3.8384	-7.2653	-11.7583	-11.9189	-6.7261	-7.3285	-11.0908	-7.97	-2.7005	-2.4348	4.5628	-3.3641	-2.5241	3.2168	-2.701	-6.3959	2.4406	7.7601	8.2931	-2.5704	2.0473	-1.2294	4.6201	-2.5194	3.1581	-0.5683	-10.1579	3.642	3.6887	2.6406	-0.3482	-3.3936	1.5965	-9.0035	0.3423	-2.7471	-0.0438	-0.7791	-3.5149	0.0103	6.1964	2.0295	4.6754	3.526	0.2438	1.7305	2.4156	2.6566	5.3312	-4.164	-2.5329	-8.8604	3.3686	3.3109	2.7623	5.8457	-4.551
D10-ZH-R1	-8.7431	-8.9305	0.8441	-4.4867	0.5494	-2.7992	-10.4627	-8.4605	-0.0649	-9.3387	-2.5355	-4.8705	0.8637	-3.7596	-4.7456	2.1242	-2.4308	-2.1646	4.3122	-7.5834	-9.0003	-11.3979	-11.236	-7.0106	6.1432	1.2819	-2.2367	6.8262	-0.4398	-0.268	2.4445	-2.1481	4.1265	5.0815	-5.8476	-3.3272	-2.8247	-2.1423	-4.8259	2.6764	4.1979	1.1641	1.9783	4.2406	6.4688	2.9193	4.1952	5.1647	-2.3164	-0.7308	0.6551	-0.023	2.3935	-11.1237	-5.9694	-4.4665	-1.4715	2.4523	-2.4229	-4.1089	-5.2122	-0.678	-10.2826	3.5815	-6.3827	2.0229	2.5226	-3.0416	-4.3809	-4.3541	-4.2738	-0.6112	6.3497	6.0894	-4.6802	6.349	-8.4616	-3.5286	5.9355	4.7565	7.0506	6.1326	-7.9539	-8.5794	-8.9965	-4.077	-6.3997	-3.2041	-10.1833	-6.4754	0.6151	4.5039	1.941	3.3973	8.6758	10.2759	0.4211	8.3395	1.9545	7.8463	7.3188	7.7968	5.3023	3.7838	6.8228	8.2403	4.8192	6.8841	0.1056	6.2178	6.2682	5.3994	-1.368	3.6716	3.6279	5.8819	2.2001	5.47	2.3804	4.98	3.2645	-0.7473	2.6054	1.8998	1.8978	-2.1484	-3.676	-0.4558	-7.2702	5.074	6.3451	7.3299	5.115	1.5705
D07-OF-R3	-6.8509	-10.1728	-2.5844	-4.6208	-1.1042	-3.402	6.6222	-10.9298	-2.0371	2.2148	-4.4085	-0.7312	1.9655	-7.0605	-5.6158	2.2008	-5.2793	-2.96	4.6832	-5.4	-3.9228	-7.9516	-3.2714	-6.246	3.1245	3.1165	-3.1311	0.1402	0.9287	-0.4353	2.1948	2.9565	2.8951	3.5801	2.9116	2.9563	2.887	2.3196	0.6351	7.0259	5.1821	4.4295	5.1038	1.764	3.471	3.7443	5.0622	6.0617	3.8617	1.7621	4.7477	4.9437	2.371	-5.0881	-6.4879	1.7317	3.4821	2.9054	-4.1931	-5.9922	4.5423	5.0163	2.3436	4.5238	7.1264	5.3849	7.5784	2.6761	2.8113	1.6543	1.7973	3.5602	6.4143	2.8655	-1.464	-1.3735	4.6213	-3.6596	-6.6756	-11.3368	-12.9527	-6.2376	-7.3287	-3.1827	-8.4067	-2.9314	-2.7742	4.7615	-4.3787	-2.2919	3.9502	-3.2589	-7.1112	2.3859	7.226	7.9915	-2.7772	2.0689	-1.5397	4.5211	-2.6504	3.2326	-0.7727	-9.9801	3.4546	3.3317	3.2617	-0.72	-3.5262	1.5451	-7.0354	-0.1548	-3.2949	-0.3111	-0.843	-3.6342	-0.2521	5.5043	1.4164	4.0933	2.8697	-0.3463	1.0721	1.6524	2.0502	4.6279	-4.4485	-3.1417	-9.2348	3.3608	2.9181	2.7925	5.4593	-4.542
D05-OH-R2	-5.7376	-7.8293	-3.1895	0.7047	2.065	-3.6975	-11.4285	5.4342	4.6974	-5.2901	7.1415	-4.5066	1.1156	-6.8478	-5.2073	1.628	-6.9794	-1.0774	3.695	-4.888	-1.915	-1.8292	6.1607	6.2095	3.0866	3.1827	-2.887	3.3821	3.6605	0.6058	-4.9105	-1.6042	1.9372	1.1015	-8.098	-6.0903	-2.0594	-4.0304	-7.8643	2.8563	3.8181	3.8422	5.3812	1.462	0.5366	2.6461	4.748	4.855	3.3186	-1.7032	4.4532	1.364	-0.815	-12.2801	5.239	-6.1991	1.5024	3.3522	-3.7123	-2.9632	-3.1882	2.6172	1.6934	4.3165	2.1584	3.3237	6.975	-0.7475	0.7426	4.2174	4.3578	1.3289	5.7061	3.2334	-3.7449	1.5002	-2.5925	-3.3186	-6.3679	-5.1818	-12.4351	-12.6478	4.2903	2.8528	-6.9303	-2.4327	-2.4421	5.5027	-1.5139	4.4898	5.8974	3.1465	-1.0658	5.9535	7.0128	8.7784	-1.2149	7.3775	6.7357	1.8164	-3.4242	-0.8175	-1.6414	-9.7975	-1.4095	3.2775	3.709	-0.4459	-4.7294	-9.5101	-7.577	1.1432	1.895	6.0803	-0.9388	-0.0068	-0.002	-0.9604	1.3453	1.7518	4.0624	0.1514	1.0908	-2.4371	0.4512	-1.3005	-2.1929	-2.6554	-5.6412	2.7011	3.096	8.5549	7.2353	-0.8011
D05-ZH-R3	-6.4377	-8.0606	-4.0776	0.7806	2.127	-3.965	-10.26	5.4987	4.8693	-5.3034	6.8686	-4.1875	-0.1691	-7.239	-5.2177	1.649	-6.1768	-1.1872	3.5456	-3.3655	-3.7428	-2.1052	6.0584	6.0909	3.0501	3.0247	-2.7194	2.6285	3.0498	1.248	-4.4502	-1.7162	1.9572	1.3911	-7.751	-5.7616	-2.0801	-4.3419	-7.45	2.9036	3.7146	3.3514	4.8789	1.5493	0.5658	2.6109	4.3872	4.9255	3.8352	-1.6004	4.8269	1.6563	-1.2686	-12.8867	3.2607	-5.8427	1.6699	3.7291	-3.5517	-3.0005	-3.7268	2.7973	0.77	4.0919	1.255	3.3076	6.506	-1.2212	0.2074	3.5987	3.7586	1.3098	5.0703	3.2078	-3.7676	1.4833	-3.3652	-3.4375	-4.2747	-5.3935	-12.8512	-12.8496	5.143	5.2716	-4.8123	-1.9919	-2.0652	5.4374	-0.501	4.2831	5.9998	2.9508	-1.5746	5.7622	6.9271	8.7104	-1.2462	7.3798	6.7632	1.7094	-3.1973	-0.7899	-1.6319	-10.0026	-1.2574	3.2426	3.7079	-0.5327	-4.4421	-7.3879	-6.765	1.1094	1.7735	5.9119	-0.9877	0.0176	0.1132	-0.9075	1.3811	1.7727	4.0354	0.1688	1.1345	-2.3813	0.5176	-1.3001	-2.42	-2.5968	-5.6385	2.774	3.288	8.4407	7.164	-0.7238
D06-ZR-R1	-4.7818	-10.7751	-3.1469	-1.9255	-0.5678	-2.995	-8.3628	-2.8508	-3.344	-6.7703	2.1183	5.0134	2.7895	-4.555	-5.5574	0.3313	-6.2305	-1.8351	4.4701	-5.713	-6.7435	-8.1258	-10.8412	-12.3401	3.2363	2.7748	-1.6453	1.2353	0.1503	3.7189	-3.8147	-1.1522	4.0582	0.9423	-7.9756	-1.9362	-4.6712	-4.6058	-4.2268	7.0758	6.6067	5.3204	5.5901	3.6332	5.6598	5.5542	5.114	3.9877	5.6715	1.1269	5.7885	3.3708	-0.4822	-10.8701	-7.3854	4.714	2.2086	5.1924	-3.1524	-3.7589	5.4406	4.5693	5.6171	6.4928	5.6043	4.4558	8.5959	-0.2348	3.0006	4.5659	4.4225	2.5193	5.1499	6.4209	2.6812	0.1845	-3.6888	-2.8825	-9.9942	-10.312	-11.3782	-9.4309	-7.5624	5.2556	-4.9181	0.8632	0.0394	7.9486	3.9122	5.2992	7.8119	5.8033	-3.7208	4.7429	7.8439	8.8267	8.2213	7.5028	0.0754	5.513	-3.7427	2.4507	0.4971	-7.8679	0.335	5.3125	1.2529	1.9866	-6.0992	-4.6369	-7.6411	0.5924	1.1451	1.031	-3.5461	-1.7746	-2.7621	7.2623	-0.2209	5.0428	1.2673	-1.018	-3.0484	4.1012	3.7216	6.3439	-3.8905	-3.6151	-12.31	-2.5007	-10.106	4.2787	1.8871	-3.2997
D09-ZF-R3	-4.2271	-12.6764	4.1406	5.7312	4.4258	-5.2941	-11.2409	5.1915	-3.5793	-2.8004	-4.3138	1.6556	-0.2045	-6.0365	-6.2384	-3.5714	-7.0292	-4.2744	3.3876	-5.508	-6.0611	3.8402	-11.8723	-11.3415	3.5938	0.2381	-3.2784	-0.0512	2.7785	-0.8932	-0.0049	-2.7472	1.9015	2.953	-11.0022	-4.2554	-4.4499	-4.2256	-4.1524	4.9759	3.5592	3.5951	4.4824	0.4043	4.0926	3.3425	3.4674	4.5093	1.0339	1.559	1.7686	0.5433	0.6001	-10.9375	1.5225	3.2075	2.5261	3.2365	-5.7757	-5.957	-4.4371	2.5839	-0.2084	3.6229	0.1312	3.8964	8.0274	4.0275	3.8335	2.4859	3.0832	2.2083	4.691	4.6307	-0.7033	0.6135	2.4392	-4.2665	-3.878	-8.1915	-9.3815	1.569	-8.9396	-12.4898	3.9675	-4.0865	-4.4601	5.7641	1.5536	-1.2319	3.6379	2.6166	-6.1531	3.445	6.6782	4.8293	-0.352	5.9556	0.0104	1.0825	-0.8161	4.1833	4.3092	-2.4724	2.9937	6.1709	2.9665	5.3602	5.2041	1.5794	-2.4225	2.395	4.9193	-2.678	0.9024	-0.6036	5.8729	3.8364	3.2063	3.204	0.2511	2.6568	3.1177	0.9746	1.4527	1.4594	-2.3943	-2.5629	-5.4122	3.7972	0.2174	5.338	2.6575	-2.5323
D06-OR-R3	-5.042	-10.6247	-2.6251	-2.1698	-0.9543	-3.1747	-1.0498	-3.4475	-3.6766	-5.4083	0.6166	3.9202	2.7967	-5.9001	-5.9336	2.891	-6.9056	-2.0663	4.243	-6.201	-6.1265	-7.5009	-9.2835	-9.9375	3.0601	1.7874	-1.8833	1	1.6141	3.1561	-4.233	-1.2908	3.0626	0.7678	-5.8608	-1.72	-4.1351	-4.4292	-3.9932	7.2882	6.2243	5.4678	5.223	3.347	5.7798	5.1123	5.2832	3.4907	5.0082	1.1214	5.1919	3.4281	-0.6155	-10.1868	-7.1775	5.0092	2.3161	3.9061	-4.0682	-4.7986	4.4615	4.0455	3.9788	5.7649	4.1138	3.5721	8.6018	-0.3848	2.9837	4.7945	4.6783	1.6929	4.8191	5.4409	1.6112	-0.8219	-2.0519	-3.463	-8.1926	-9.5084	-7.7864	-9.6185	-8.2457	3.6002	-6.0746	0.0243	-0.7952	6.5443	3.3807	4.1092	6.6824	4.74	-4.7015	4.5382	7.794	9.0842	8.1576	7.6672	0.0973	5.2302	-3.4047	1.9404	1.0874	-7.499	0.4916	5.4936	1.3773	1.8403	-5.3926	-4.1393	-7.3011	0.7606	1.2931	1.3826	-3.5786	-1.4757	-2.791	6.5877	-0.598	4.6092	0.656	-1.5249	-3.792	3.4091	3.056	5.8782	-2.986	-3.1853	-7.6836	-1.8961	-5.2962	4.0756	1.7115	-3.3632
D06-NF-R1	-4.7741	-10.1416	-2.6727	-2.4321	-0.7212	-2.6444	-9.3568	-2.9597	-3.8948	-7.5553	1.8228	4.0882	2.9628	-5.0513	-6.1931	1.63	-6.9305	-0.5726	4.5697	-6.76	-6.5819	-7.4781	-5.3606	-5.1758	3.1972	2.4953	-1.573	1.1381	1.2731	3.8727	-3.9778	-0.8828	4.1793	1.4208	-7.6148	-1.492	-3.4797	-3.7771	-3.646	7.8239	6.9309	6.0127	6.2122	4.3444	6.4101	5.9175	6.0686	4.2454	5.8386	1.605	6.0312	3.0266	-0.0357	-12.7848	-5.5476	3.9013	2.5673	3.7296	-3.588	-4.3344	5.4181	4.6713	4.6501	6.56	4.6091	4.0286	9.6505	0.5749	4.1172	6.0719	5.9497	2.2095	5.3108	5.4012	1.7581	-0.4139	-2.6966	-2.7905	-10.4883	-11.8313	-11.9668	-10.061	-6.9399	4.6391	-5.6937	0.1347	-0.589	7.5544	3.8921	5.2566	7.6054	5.5541	-3.8748	3.3466	7.9842	8.6328	8.6383	7.1163	0.0538	4.0949	-3.2845	1.1105	0.7522	-8.3459	0.3462	5.0124	1.1209	2.1875	-6.5725	-5.1236	-7.589	0.292	1.5441	0.8494	-3.8941	-1.4808	-2.5757	5.6323	-1.5314	3.8657	-0.2651	-2.4326	-4.8304	2.4923	2.1415	5.0978	-3.821	-3.979	-9.7994	-2.0263	-8.1656	3.5589	1.6853	-3.4359
D02-OH-R3	-9.8453	-11.2501	1.6612	-4.1205	-2.6405	-4.6357	-9.3877	-10.5794	-1.8778	-7.021	-5.0663	2.7696	0.1109	-5.6056	-7.2517	4.01	-4.7448	-1.5847	4.6632	-4.1495	-10.5612	-4.1506	-4.719	-5.3518	4.34	3.528	-1.9904	4.8913	3.384	1.5138	0.1467	-0.8615	2.41	1.7121	-5.6178	-0.7514	-5.1266	-1.5649	-5.0188	2.21	6.4409	1.7607	2.7022	3.3429	3.2279	3.6793	4.0104	4.2991	1.8736	5.7075	3.2002	0.7165	0.3789	-10.2726	-7.1975	2.268	0.6223	4.6433	4.657	4.6553	4.4828	-0.388	-4.0374	5.8542	-5.7985	4.5664	7.6397	2.5517	1.4915	0.6946	1.2778	2.7223	4.8116	6.1013	5.0681	-1.2846	-0.3593	-2.9898	-11.2835	-12.1342	-11.3004	2.8784	-11.2197	-12.1591	-7.7558	5.3046	5.7189	-6.8129	4.1108	-5.8424	-3.7816	0.1677	-5.866	5.0839	5.0643	7.5188	-0.2672	7.2668	8.3053	5.9625	1.1048	5.65	3.1565	4.9945	4.8745	6.8652	3.9602	0.7641	0.5048	4.4981	7.2496	5.7607	1.0028	-0.6536	2.5349	-0.0082	1.7778	-2.8181	2.2362	2.2399	3.7596	-1.5445	2.984	-1.7195	0.8601	-2.5855	-3.6883	-1.2153	-5.2234	3.5841	-2.6954	6.2454	4.0022	-2.4136
D01-ZH-R1	-4.0027	-12.5715	-1.5749	-3.5524	0.0618	-4.2086	-10.2958	-6.8554	4.6436	-6.4537	-0.3151	2.0767	0.1965	-6.2741	-5.8077	-2.034	-6.0777	-0.5776	5.7516	-4.886	2.4666	-7.4679	-6.2256	-6.8817	5.2738	3.6785	-1.9742	5.3777	5.0362	3.9452	1.4603	-0.6414	2.2868	2.7152	-12.353	-1.755	-0.2493	-1.9887	-3.0429	5.0149	5.6752	4.2258	3.9723	1.4185	4.5946	4.4135	5.4579	5.3534	3.4287	-1.4797	5.2971	4.314	1.5321	-7.5192	-4.8948	1.1907	3.8358	1.9543	-3.7806	-4.7365	-4.1164	2.8752	6.1346	5.8528	3.466	4.4116	8.8529	-0.6505	2.5061	3.9876	3.7579	2.1985	7.1087	5.7394	4.531	0.7242	-4.7	-3.1866	-7.555	-8.2446	-12.521	-6.6839	-8.7081	3.5358	-7.2417	1.0144	0.3235	-2.9642	-1.9588	-5.1997	5.0443	-3.1413	-4.5012	5.2083	4.2515	2.0714	-0.5458	6.2871	-1.0459	6.8379	-2.8262	6.7703	0.5957	-4.7261	5.2363	3.7173	8.0797	0.3096	-3.218	2.9359	-6.4569	-1.0251	-2.5867	-4.3633	-4.9786	-5.4925	2.178	6.8791	0.9377	7.5013	1.2941	-0.152	-1.0897	2.4989	4.8339	5.7455	-3.952	-3.9505	-7.298	4.4677	1.4981	7.0356	3.34	-3.6672
PCO-B3-R3	13.1234	14.6814	4.7068	16.0663	16.7266	16.7489	-4.5754	-4.7963	-2.3723	-3.6941	-4.7461	0.0319	16.5986	16.657	16.1368	-1.434	15.5609	16.3301	1.1353	-4.562	-4.3833	-3.5822	-4.6291	-4.8163	0.9432	0.9963	-3.6733	3.646	-4.5392	-2.3927	-4.5697	-3.639	0.4695	0.1298	-4.4097	-4.7999	-4.5572	-4.8706	-4.5957	2.6561	2.8494	1.3966	1.1768	-2.2201	1.4102	2.9043	1.1359	2.8697	1.3063	1.4774	1.6564	0.4633	-2.5538	-4.6229	-2.9911	-1.1886	0.7943	0.7587	-4.4116	-4.6293	1.0716	0.1475	2.7355	2.8692	1.2449	1.0166	5.1413	-4.613	0.3732	-1.636	-1.698	2.1262	2.817	2.177	-2.6318	-4.5536	-4.445	-1.6388	-4.5152	-4.6379	-3.6786	0.6778	-4.65	-4.7421	-4.5338	-0.7451	-1.2007	0.1534	-2.277	-2.627	1.1085	1.5088	-4.7627	1.7338	3.1852	3.5028	4.6593	2.6735	3.8651	2.0753	-4.3752	0.547	-4.6024	-4.4353	-3.7518	-2.6414	0.6935	-3.065	-4.5191	-4.5235	-3.5769	-4.4887	-4.6817	-4.6441	4.9183	-4.6656	-4.5774	2.5497	0.769	2.0499	0.1413	-4.5269	1.3682	-4.5527	0.5963	-4.5597	-3.6056	-2.2914	-4.357	1.5734	-4.6987	2.7901	0.9992	-4.4215
D01-OH-R1	-4.8988	-10.8535	-1.5954	-4.1742	0.4149	-3.7818	-8.6775	-6.4041	3.2988	-6.8203	-1.2565	2.059	0.9643	-7.0883	-6.5853	-2.0167	-6.1085	-0.5834	5.3967	-4.9929	4.8717	-7.1103	-5.2812	-6.1674	5.582	3.6158	-2.1606	6.0402	5.7278	4.1136	1.7335	-0.6421	1.4191	1.856	-11.9862	-1.4599	-0.6323	-2.2193	-3.0986	4.5886	5.2004	3.201	3.176	0.7602	3.2059	3.109	3.9992	4.2247	1.8616	-2.5306	3.6501	4.5285	1.7816	-7.4762	-2.5625	2.0936	4.1913	1.8841	-4.0133	-4.7566	-4.5151	2.5103	6.8201	5.6175	4.1799	3.7589	8.9895	-0.5609	2.65	4.2722	4.0403	1.335	7.7938	5.1375	4.5393	0.849	-4.9294	-3.1682	-7.8316	-9.1605	-13.8637	-7.0486	-9.0396	2.2998	-8.5598	0.8781	0.203	-4.2312	-1.9111	-6.3749	3.7971	-3.4738	-5.451	5.9488	4.5893	2.5969	-0.0881	7.0903	-0.5785	7.4807	-2.1581	7.1506	0.9607	-4.6753	5.6444	3.9656	8.8826	0.9467	-2.4135	3.326	-5.6745	-0.6168	-2.1914	-3.7866	-4.2319	-4.9327	2.9722	7.0361	0.9678	7.6186	1.3935	-0.0813	-1.0268	2.6505	4.9616	5.8471	-3.8164	-3.5412	-6.8354	4.9314	1.595	7.6139	3.5239	-3.2126
D07-ZF-R1	-7.884	-10.3478	-2.3352	-4.3894	-0.7381	-3.1894	6.7826	-9.1557	-2.4031	2.769	-4.0981	0.1538	0.6571	-6.3937	-6.3543	1.3336	-4.9892	-2.5326	4.7677	-5.063	-7.8324	-8.0813	-3.273	-6.152	3.4201	3.8142	-2.9946	-0.7128	-0.4741	-0.903	1.8826	2.7196	2.8421	3.5555	2.6569	2.6721	2.614	2.0268	0.3817	6.3781	4.9309	4.2199	4.3801	1.4512	2.9555	3.3956	4.6584	5.6262	3.8453	1.7507	4.6873	5.4583	2.0876	-4.9709	-6.0346	1.9415	3.5179	4.5836	-3.4717	-5.1712	4.216	4.7363	1.7427	4.3246	6.6587	5.5531	8.0726	2.9756	3.5826	2.1491	2.3436	3.7341	7.1406	3.5701	-2.071	-0.366	3.8227	-3.8157	-6.2912	-12.4566	-13.2903	-6.0384	-7.0725	-13.0384	-7.602	-2.7669	-2.4506	4.6604	-3.449	-2.3685	3.5856	-2.9083	-7.4233	2.6868	7.5061	8.1595	-2.5593	1.708	-1.2446	4.872	-2.474	3.7835	-0.5692	-9.1838	4.0544	3.6079	2.5692	-0.33	-3.3249	2.2646	-7.9528	0.0279	-2.7141	-0.1337	-0.6482	-3.3826	0.1492	5.943	2.0721	4.4856	3.4157	0.2259	1.813	2.0999	2.4356	5.1422	-4.1469	-2.9426	-9.5842	3.7785	3.4591	2.9798	5.9431	-4.4238
D05-ZR-R2	-5.0771	-9.7686	-3.7327	0.4365	1.8514	-4.0268	-10.7577	5.3214	4.8786	-5.1861	6.9091	-4.1817	0.4231	-6.6745	-6.0993	2.1668	-6.4836	-1.0878	3.4485	-3.6303	-3.9921	-2.8018	5.2617	5.3049	2.9642	3.0777	-2.5766	2.9341	3.3244	1.0781	-4.3593	-1.664	2.5694	1.781	-7.6134	-5.949	-1.8995	-4.1638	-6.9586	3.0225	4.2534	3.7605	5.267	1.8726	0.9117	3.0697	4.9951	5.3811	4.5644	-1.1426	5.5878	1.4901	-1.1338	-10.7302	3.001	-5.6743	1.4718	3.659	-3.7146	-2.9189	-3.2446	2.7267	1.5185	4.3951	1.9869	4.2231	6.6488	-1.1389	0.3196	3.2996	3.438	2.2718	5.2942	3.1773	-3.6646	1.5096	-3.5884	-3.5563	-4.8568	-6.2017	-12.1828	-11.2219	5.2335	4.8152	-5.3792	-2.2026	-2.3446	6.1636	0.1853	4.9298	6.89	3.6309	-0.9545	5.5146	6.6308	8.4129	-1.5487	7.1579	6.3231	1.4188	-3.8667	-0.9931	-2.031	-9.8009	-1.7036	3.0271	3.398	-0.7923	-4.8596	-9.1918	-9.3341	0.8081	1.4817	5.4092	-1.2163	-0.4941	-0.2386	-0.9586	1.425	1.7551	4.0461	0.2134	1.1879	-2.5757	0.4155	-1.2955	-2.5511	-2.8493	-5.8106	2.5666	2.9927	8.1847	6.8147	-1.2329
D03-ZF-R3	-5.3138	-13.3266	0.622	-4.8498	0.4781	-4.7467	-3.2644	-0.7131	0.0551	-6.8282	-3.545	-0.743	-0.0991	-7.2115	-7.2341	-0.7164	-5.4045	-2.244	3.2666	-0.5599	2.8314	-5.0487	-10.7488	-12.1662	2.4744	0.7773	-3.1901	0.934	2.6773	2.6792	0.7718	-0.2172	1.0941	3.024	-1.295	-0.1594	-0.819	-0.493	-1.4696	5.2592	3.9039	4.3098	2.5111	0.6265	3.9714	3.0355	3.9316	3.8652	3.1034	1.5353	3.0513	0.7162	1.1796	3.0144	-6.668	-2.0957	1.6947	3.2134	-4.7138	-4.9316	0.997	2.7042	-2.6013	3.2154	-0.8474	2.2068	6.5514	1.7725	0.0867	2.1044	2.3328	0.0487	5.8183	3.0885	0.8649	-1.723	-4.2606	2.6775	4.7105	3.4296	5.8395	1.8222	-8.8951	2.7899	-8.1288	1.5337	0.74	4.6035	-1.9955	-1.6206	-1.1237	4.7793	-5.2039	0.7892	3.8165	5.9681	-3.029	2.0346	-1.0757	2.6011	2.5487	-3.0921	-1.3177	-8.6777	-1.7366	2.9617	3.713	2.4057	1.5841	-7.6434	-5.4965	-2.1963	0.1197	0.8261	-2.1375	4.0182	1.0899	2.7376	-0.3209	3.2309	-1.1305	-4.2252	-1.5042	2.9082	2.4978	1.3671	8.1275	6.8372	1.8069	-1.8407	2.1764	0.6043	3.4266	-2.8823
