Well,Well96,PCR_Replicate,Plate,SampleName,SampleCode,SampleNameFull,Omit,Sample,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues
F10,C5,Rep4,Plate3,standardF_10,000,NA,standardF_10,000_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.3176626907073,No Amp,false,3,15,NA,NA
F11,C6,Rep3,Plate3,D03_ZR_R3,3-3-9,D03_ZR_R3_Rep3,false,Sample,16S,Unknown,SYBR,17.34311882965308,0.889893492036243,3.47870171363144,Amp,false,3,10,NA,NA
F12,C6,Rep4,Plate3,D03_ZR_R3,3-3-9,D03_ZR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.36370377631872,No Amp,false,3,11,NA,NA
F13,C7,Rep3,Plate3,D08_ZF_R3,3-1-11,D08_ZF_R3_Rep3,false,Sample,16S,Unknown,SYBR,14.28326930519328,0.911704891924125,3.46182143145998,Amp,false,3,8,NA,NA
F14,C7,Rep4,Plate3,D08_ZF_R3,3-1-11,D08_ZF_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.36978580141318,No Amp,false,3,12,NA,NA
F15,C8,Rep3,Plate3,D05_OR_R3,3-3-15,D05_OR_R3_Rep3,false,Sample,16S,Unknown,SYBR,11.577734423748915,0.908116183509236,3.46690420517453,Amp,false,3,6,NA,NA
F16,C8,Rep4,Plate3,D05_OR_R3,3-3-15,D05_OR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.38291806589342,No Amp,false,3,12,NA,NA
F17,C9,Rep3,Plate3,D04_ZR_R3,3-4-8,D04_ZR_R3_Rep3,false,Sample,16S,Unknown,SYBR,13.397224061552958,0.889064098822333,3.47963404845089,Amp,false,3,7,NA,NA
F18,C9,Rep4,Plate3,D04_ZR_R3,3-4-8,D04_ZR_R3_Rep4,true,Sample,16S,Unknown,SYBR,Undetermined,0,2.33436734002017,No Amp,false,3,12,NA,NA
F19,C10,Rep3,Plate3,D08_NF_R3,3-3-3,D08_NF_R3_Rep3,false,Sample,16S,Unknown,SYBR,9.436415087225082,0.934453472862283,3.47525863444321,Amp,false,3,5,NA,NA
