sample	tax.level	method	value
Flex_D06-NF-R1	family	shannon	1.886
Flex_D04-NF-R1	family	shannon	2.149
XT_D04-NFlex-R1-A	family	simpson	0.78
XT_D06-NFlex-R1-A	family	simpson	0.767
XT_D08-NFlex-R1-C	family	simpson	0.756
XT_D07-NFlex-R1-C	family	simpson	0.783
XT_D10-NFlex-R1-C	family	simpson	0.741
XT_D05-NFlex-R1-C	family	simpson	0.832
XT_D05-NFlex-R1-A	family	simpson	0.834
XT_D05-NFlex-R1-B	family	simpson	0.833
XT_D08-NFlex-R1-B	family	simpson	0.756
XT_D02-NFlex-R1-B	family	simpson	0.703
XT_D07-NFlex-R1-B	family	simpson	0.784
XT_D09-NFlex-R1-B	family	simpson	0.825
XT_D03-NFlex-R1-C	family	simpson	0.854
XT_D01-NFlex-R1-A	family	simpson	0.801
XT_D04-NFlex-R1-C	family	simpson	0.779
XT_D10-NFlex-R1-A	family	simpson	0.742
XT_D06-NFlex-R1-B	family	simpson	0.769
XT_D03-NFlex-R1-B	family	simpson	0.854
XT_D10-NFlex-R1-B	family	simpson	0.742
XT_D09-NFlex-R1-C	family	simpson	0.825
XT_D02-NFlex-R1-A	family	simpson	0.702
XT_D09-NFlex-R1-A	family	simpson	0.825
XT_D04-NFlex-R1-B	family	simpson	0.783
XT_D08-NFlex-R1-A	family	simpson	0.755
XT_D06-NFlex-R1-C	family	simpson	0.768
XT_D02-NFlex-R1-C	family	simpson	0.702
XT_D01-NFlex-R1-C	family	simpson	0.801
XT_D07-NFlex-R1-A	family	simpson	0.782
XT_D03-NFlex-R1-A	family	simpson	0.854
XT_D01-NFlex-R1-B	family	simpson	0.801
Flex_D10-NF-R1	family	simpson	0.776
Flex_D07-NF-R1	family	simpson	0.79
Flex_D08-NF-R1	family	simpson	0.776
Flex_D05-NF-R1	family	simpson	0.842
Flex_D02-NF-R1	family	simpson	0.731
Flex_D03-NF-R1	family	simpson	0.84
Flex_D09-NF-R1	family	simpson	0.832
Flex_D01-NF-R1	family	simpson	0.792
Flex_D06-NF-R1	family	simpson	0.789
Flex_D04-NF-R1	family	simpson	0.806
XT_D04-NFlex-R1-A	genus	shannon	3.277
XT_D06-NFlex-R1-A	genus	shannon	2.617
XT_D08-NFlex-R1-C	genus	shannon	2.618
