metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	Paeniclostridium	Hot	-0.000270579795797336	9.44465266197268e-05	210	102	0.00462390154017106	0.0228366062891931
Temperature	Kandleria	Hot	-0.000335536634913569	0.000117103018097344	210	84	0.00461813052360638	0.0228366062891931
Temperature	Aspergillus	Hot	0.000396834288928336	0.000139027838212587	210	209	0.00477383489717239	0.0234169164429719
Temperature	Finegoldia	Hot	-0.000328852020360697	0.000115320942262757	210	50	0.00481330921199655	0.0235279939803188
Kit	Emergencia	Zymo	-0.00386799964060652	0.0013576046027443	210	136	0.00484959795964939	0.0236227803051911
Kit	unclassified.Firmicutes.sensu.stricto..miscellaneous.	Zymo	0.0742785136177444	0.0261303689330684	210	209	0.00494589546052004	0.0239718441535677
Temperature	Gigaspora	Hot	0.000460723086100427	0.000162179761955059	210	209	0.00497270014630517	0.0239718441535677
Temperature	Caproiciproducens	Hot	0.000180373438161842	6.34702966043365e-05	210	206	0.00495717666956553	0.0239718441535677
Temperature	Methanobrevibacter	Hot	-0.00304480690352821	0.00107709280896358	210	155	0.00518543230804577	0.0249114583046323
Temperature	unclassified.Muribaculaceae	Hot	0.000800809582071249	0.000283907174402572	210	209	0.00528268617335042	0.0252917646244654
Kit	Alloprevotella	Zymo	-0.000170204549302153	6.0542267663568e-05	210	57	0.00543229880065405	0.025919295984008
Kit	Mucilaginibacter	Zymo	-7.01999792918372e-05	2.49989815741863e-05	210	24	0.00548477734174402	0.0260806759311501
Temperature	unclassified.Clostridiaceae	Hot	0.0515445422474202	0.0183976439352783	210	209	0.0055907815300414	0.0261701165197284
Temperature	Guerin_crAss_Gamma	Hot	0.00430584393483703	0.00153594463238609	210	42	0.00556266412139805	0.0261701165197284
Temperature	Chryseobacterium	Hot	0.000464270561219808	0.000165733479634701	210	208	0.00559718514978455	0.0261701165197284
Temperature	Lachnoanaerobaculum	Hot	0.000473607899738071	0.000168921390995217	210	209	0.00555714865676891	0.0261701165197284
Temperature	Phoenicibacter	Room Temp	-0.000160426032732719	5.72527704975221e-05	210	56	0.00558456844823506	0.0261701165197284
Temperature	Pseudoclostridium	Hot	0.000188606418270845	6.73857413360242e-05	210	128	0.00563734620838701	0.0262700333310835
Temperature	Zymomonas	Room Temp	-0.00013522436209737	4.83376875114794e-05	210	26	0.00566110918913413	0.0262931250711279
Temperature	Rothia	Room Temp	-0.00058811358036984	0.000210763999267459	210	190	0.00578192429218901	0.0265892439489482
Temperature	unclassified.Clostridiales.Family.XIII..Incertae.Sedis	Room Temp	0.00109809776813828	0.00039349047766321	210	158	0.0057772919334073	0.0265892439489482
Kit	Dehalobacter	Zymo	0.000126874749223492	4.5453155741916e-05	210	79	0.0057657939900807	0.0265892439489482
Temperature	Mediterraneibacter	Room Temp	-0.000459105662491567	0.000164698704316453	210	207	0.00583088114039157	0.026726465030385
Temperature	Hypoxylon	Hot	0.000153913481362029	5.52489883386892e-05	210	72	0.00586094105309301	0.0267764561837386
Kit	Megasphaera	Zymo	0.0610464487590232	0.0219365675370407	210	207	0.00591247661389182	0.0268365009942232
Temperature	Catabacter	Hot	0.00116932051926908	0.000420034372248189	210	209	0.00589486937534393	0.0268365009942232
