metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Temperature	Anaerostipes	Room Temp	-0.281286186967038	0.045781833986674	210	209	4.37166519240976e-09	2.06926677694083e-07
Kit	crAss.like.viruses	Zymo	0.0545854306335915	0.00890626834301284	210	189	4.73651908884883e-09	2.06926677694083e-07
Temperature	Phocea	Room Temp	0.00330663012105594	0.000538054692005632	210	209	4.33780483624292e-09	2.06926677694083e-07
Temperature	Arabia	Hot	-0.0012403545754262	0.000201913385236303	210	206	4.39607337983708e-09	2.06926677694083e-07
Temperature	Mediterraneibacter	Hot	-0.00100972347389685	0.000164698704316453	210	207	4.69041999568046e-09	2.06926677694083e-07
Kit	Massilioclostridium	Zymo	0.00056113479457303	9.14574524909554e-05	210	124	4.57444669254417e-09	2.06926677694083e-07
Temperature	Streptococcus	Room Temp	-0.180228227013572	0.0297709548686593	210	209	7.02717407004236e-09	2.97696646967249e-07
Temperature	unclassified.Oscillospiraceae	Hot	0.14789531623145	0.0244543647914614	210	209	7.25207681548786e-09	2.98188334942707e-07
Kit	Pseudoflavonifractor	Zymo	0.0089744804609719	0.00149933258870608	210	209	1.00286557863861e-08	4.00573165410506e-07
Kit	Peptoanaerobacter	Zymo	0.000564503203511974	9.46117793781258e-05	210	123	1.107589717739e-08	4.30114007055313e-07
Kit	Holdemania	Zymo	0.00863719263751565	0.00146696748141804	210	209	1.66335739849284e-08	6.28479362998106e-07
Kit	Carnobacterium	Zymo	0.0108763178155885	0.00185486707825392	210	209	1.88274091572491e-08	6.92650473732479e-07
Kit	Enterorhabdus	Zymo	-0.00983688280374283	0.00168111524136856	210	188	2.00485623736297e-08	7.1866385123934e-07
Temperature	Ruminococcus	Hot	-1.58791125789783	0.27179667619951	210	209	2.1007512603125e-08	7.34212565479218e-07
Temperature	unclassified.Clostridiales..miscellaneous.	Hot	0.481367008409824	0.0826526285946278	210	209	2.30672813884036e-08	7.6970459861835e-07
Kit	Bittarella	Zymo	0.0037984193221245	0.000652257724034717	210	209	2.312417249068e-08	7.6970459861835e-07
Temperature	Enterorhabdus	Hot	-0.0116151761020577	0.00200092736272769	210	188	2.5425165548642e-08	8.26613521790733e-07
Kit	Veillonellaceae..environmental.samples	Zymo	0.000561365806535216	9.93426666265912e-05	210	192	5.53669312958987e-08	1.75915840799242e-06
Temperature	Robinsoniella	Hot	-0.000404031000441589	7.35182111694286e-05	210	209	1.19505143422917e-07	3.71262645567196e-06
Kit	Brevibacillus	Zymo	0.000250442699721017	4.56116075726878e-05	210	128	1.22410987106351e-07	3.72022956466694e-06
Temperature	Romboutsia	Hot	-0.0528190383940971	0.0097857392719828	210	208	1.929407556931e-07	5.73896120125434e-06
Temperature	Pseudobutyrivibrio	Hot	-0.000690719879043257	0.000128205599228853	210	209	2.02485960939949e-07	5.89740361237601e-06
Temperature	Butyricicoccus	Hot	-0.104304888496609	0.0194983709920718	210	209	2.43535239804438e-07	6.94820949482867e-06
Kit	Anaeroglobus	Zymo	0.000280607377482459	5.27064405148647e-05	210	78	2.7528214348992e-07	7.69688873197816e-06
Kit	Phocea	Zymo	0.00238145393061812	0.000452056361599987	210	209	3.5983522674714e-07	9.86371856848044e-06
Kit	Acidaminococcus	Zymo	0.00179770472188769	0.000343750174188367	210	209	4.31929681064973e-07	1.16122633486314e-05
Temperature	Hespellia	Hot	-0.00208134801911559	0.000401711485841328	210	209	5.43334749351635e-07	1.43317354640299e-05
Temperature	Collinsella	Hot	-0.511659639038011	0.0991145499536295	210	209	5.93923577633516e-07	1.53760215098455e-05
Kit	Anaeromassilibacillus	Zymo	0.00473852995069807	0.000919125698878774	210	209	6.13314221829357e-07	1.55893324021353e-05
Kit	Cuneatibacter	Zymo	0.000725197741197985	0.000140847328993674	210	203	6.32794061888306e-07	1.57972517592831e-05
Temperature	unclassified.Oscillospiraceae	Room Temp	0.12222860627315	0.0244543647914614	210	209	1.27431899315164e-06	3.07154819383791e-05
Temperature	Slackia	Hot	-0.000465841150687198	9.31674754186718e-05	210	179	1.26376491917717e-06	3.07154819383791e-05
Kit	Harryflintia	Zymo	0.00119620580938518	0.000240429633201624	210	209	1.41594793184854e-06	3.35507662495637e-05
Temperature	unclassified.Coriobacteriaceae	Hot	-0.0566285209870001	0.0114734511169682	210	206	1.69752370302596e-06	3.95523022805048e-05
Temperature	Murimonas	Hot	-0.000571123338002869	0.000116191326227887	210	208	1.86139248469586e-06	4.26594539935214e-05
Temperature	Phascolarctobacterium	Hot	0.106401522671245	0.0217673807788116	210	207	2.10634795996305e-06	4.67408642544183e-05
Kit	Schaedlerella	Zymo	0.00042426642042105	8.67901414651719e-05	210	209	2.10349508190489e-06	4.67408642544183e-05
Temperature	Clostridioides	Room Temp	-0.0299300430444507	0.00617712848852304	210	209	2.55539754167211e-06	5.58194650509002e-05
Temperature	Veillonella	Hot	0.00958462658949074	0.00198595690390374	210	209	2.78436365506497e-06	5.98852367658589e-05
Kit	Haemophilus	Zymo	-0.014999841864112	0.00314338048739906	210	188	3.54922876923504e-06	7.51791184756149e-05
Kit	unclassified.Selenomonadaceae	Zymo	0.000925698134751148	0.000194282335533573	210	87	3.66434743615516e-06	7.64590703842525e-05
Kit	Filifactor	Zymo	0.000207078888788436	4.35139636437777e-05	210	62	3.75999347756007e-06	7.73010423768967e-05
Kit	Mitsuokella	Zymo	0.130463679415875	0.027534044820425	210	122	4.1203512021055e-06	8.22892997220499e-05
Temperature	Arabia	Room Temp	-0.000956746812593986	0.000201913385236303	210	206	4.11790249672956e-06	8.22892997220499e-05
Temperature	Lachnospira	Room Temp	-0.0872944483502884	0.0184758090109439	210	209	4.3733038296704e-06	8.29963149831453e-05
Temperature	unclassified.Streptococcaceae	Hot	-0.00110851174978885	0.000234373747100167	210	106	4.28001418001922e-06	8.29963149831453e-05
Temperature	Anaerocolumna	Hot	-0.000397154664224552	8.40240565264485e-05	210	209	4.33710315298171e-06	8.29963149831453e-05
Temperature	unclassified.Bacteria.candidate.phyla	Hot	0.000279244866568376	5.91148510625231e-05	210	48	4.39322411212643e-06	8.29963149831453e-05
Temperature	Flavonifractor	Hot	0.0471435146720144	0.00999371398552233	210	209	4.52017469949653e-06	8.3147424077581e-05
Temperature	Porphyromonas	Hot	0.00377806447407687	0.000800573556016899	210	199	4.48281229035222e-06	8.3147424077581e-05
Temperature	Intestinibacter	Hot	-0.0117364528484538	0.00249206972112169	210	119	4.67831799882416e-06	8.49388124981322e-05
Temperature	Faecalibacterium	Room Temp	-1.98172716952986	0.421242371121356	210	209	4.78333871914402e-06	8.57321478123505e-05
Temperature	Eubacterium	Hot	-0.349183296877177	0.0742819979293595	210	209	4.861962933901e-06	8.60382807796658e-05
