taxid	Genus	mean16S	kingdom
84162	Cryptobacterium	3	Bacteria
84567	Pedobacter	4	Bacteria
846	Oxalobacter	1.67	Bacteria
848	Fusobacterium	6.12	Bacteria
85413	Bosea	2	Bacteria
862	Syntrophomonas	3	Bacteria
866673	Marinifilum	1.94	Bacteria
872	Desulfovibrio	3.32	Bacteria
87270	Umbilicaria	0	Fungi
88138	Modestobacter	3	Bacteria
882379	Aliagarivorans	1.94	Bacteria
890109	unclassified Gallionellaceae	1.94	Bacteria
89966	Hymenobacter	3.05	Bacteria
904	Acidaminococcus	4.5	Bacteria
90402	Geoglossum	0	Fungi
906	Megasphaera	6.5	Bacteria
909928	Negativicoccus	1.94	Bacteria
910038	unclassified Aminicenantes	1.94	Bacteria
941843	unclassified Rhodospirillales (miscellaneous)	1.94	Bacteria
946234	Flavonifractor	2.5	Bacteria
963	Herbaspirillum	3	Bacteria
970	Selenomonas	4.6	Bacteria
990721	Christensenella	2.5	Bacteria
99482	unclassified Micrococcales (miscellaneous)	1.94	Bacteria
