sample	tax.level	method	value
XT_D04-NFlex-R1-B	family	simpson	0.789
XT_D08-NFlex-R1-A	family	simpson	0.73
XT_D06-NFlex-R1-C	family	simpson	0.758
XT_D02-NFlex-R1-C	family	simpson	0.669
XT_D01-NFlex-R1-C	family	simpson	0.789
XT_D07-NFlex-R1-A	family	simpson	0.761
XT_D03-NFlex-R1-A	family	simpson	0.851
XT_D01-NFlex-R1-B	family	simpson	0.788
Flex_D10-NF-R1	family	simpson	0.754
Flex_D07-NF-R1	family	simpson	0.781
Flex_D08-NF-R1	family	simpson	0.759
Flex_D05-NF-R1	family	simpson	0.839
Flex_D02-NF-R1	family	simpson	0.709
Flex_D03-NF-R1	family	simpson	0.846
Flex_D09-NF-R1	family	simpson	0.824
Flex_D01-NF-R1	family	simpson	0.785
Flex_D06-NF-R1	family	simpson	0.786
Flex_D04-NF-R1	family	simpson	0.813
XT_D04-NFlex-R1-A	genus	shannon	3.161
XT_D06-NFlex-R1-A	genus	shannon	2.403
XT_D08-NFlex-R1-C	genus	shannon	2.421
XT_D07-NFlex-R1-C	genus	shannon	2.855
XT_D10-NFlex-R1-C	genus	shannon	2.328
XT_D05-NFlex-R1-C	genus	shannon	2.974
XT_D05-NFlex-R1-A	genus	shannon	2.986
XT_D05-NFlex-R1-B	genus	shannon	2.975
XT_D08-NFlex-R1-B	genus	shannon	2.423
XT_D02-NFlex-R1-B	genus	shannon	2.329
XT_D07-NFlex-R1-B	genus	shannon	2.865
XT_D09-NFlex-R1-B	genus	shannon	2.993
XT_D03-NFlex-R1-C	genus	shannon	3.014
XT_D01-NFlex-R1-A	genus	shannon	3.079
XT_D04-NFlex-R1-C	genus	shannon	3.158
XT_D10-NFlex-R1-A	genus	shannon	2.348
XT_D06-NFlex-R1-B	genus	shannon	2.412
XT_D03-NFlex-R1-B	genus	shannon	3.007
XT_D10-NFlex-R1-B	genus	shannon	2.345
XT_D09-NFlex-R1-C	genus	shannon	2.993
XT_D02-NFlex-R1-A	genus	shannon	2.327
XT_D09-NFlex-R1-A	genus	shannon	2.993
XT_D04-NFlex-R1-B	genus	shannon	3.164
XT_D08-NFlex-R1-A	genus	shannon	2.415
XT_D06-NFlex-R1-C	genus	shannon	2.405
XT_D02-NFlex-R1-C	genus	shannon	2.326
XT_D01-NFlex-R1-C	genus	shannon	3.08
XT_D07-NFlex-R1-A	genus	shannon	2.848
XT_D03-NFlex-R1-A	genus	shannon	3.012
XT_D01-NFlex-R1-B	genus	shannon	3.076
Flex_D10-NF-R1	genus	shannon	2.572
Flex_D07-NF-R1	genus	shannon	3.058
Flex_D08-NF-R1	genus	shannon	2.605
Flex_D05-NF-R1	genus	shannon	3.092
Flex_D02-NF-R1	genus	shannon	2.511
Flex_D03-NF-R1	genus	shannon	3.112
Flex_D09-NF-R1	genus	shannon	3.093
Flex_D01-NF-R1	genus	shannon	3.198
Flex_D06-NF-R1	genus	shannon	2.619
Flex_D04-NF-R1	genus	shannon	3.302
XT_D04-NFlex-R1-A	genus	simpson	0.925
XT_D06-NFlex-R1-A	genus	simpson	0.817
XT_D08-NFlex-R1-C	genus	simpson	0.79
XT_D07-NFlex-R1-C	genus	simpson	0.893
XT_D10-NFlex-R1-C	genus	simpson	0.725
XT_D05-NFlex-R1-C	genus	simpson	0.87
XT_D05-NFlex-R1-A	genus	simpson	0.874
XT_D05-NFlex-R1-B	genus	simpson	0.871
XT_D08-NFlex-R1-B	genus	simpson	0.79
XT_D02-NFlex-R1-B	genus	simpson	0.733
XT_D07-NFlex-R1-B	genus	simpson	0.895
XT_D09-NFlex-R1-B	genus	simpson	0.889
XT_D03-NFlex-R1-C	genus	simpson	0.915
XT_D01-NFlex-R1-A	genus	simpson	0.916
XT_D04-NFlex-R1-C	genus	simpson	0.924
XT_D10-NFlex-R1-A	genus	simpson	0.73
XT_D06-NFlex-R1-B	genus	simpson	0.819
XT_D03-NFlex-R1-B	genus	simpson	0.915
XT_D10-NFlex-R1-B	genus	simpson	0.729
XT_D09-NFlex-R1-C	genus	simpson	0.889
XT_D02-NFlex-R1-A	genus	simpson	0.732
XT_D09-NFlex-R1-A	genus	simpson	0.889
XT_D04-NFlex-R1-B	genus	simpson	0.925
XT_D08-NFlex-R1-A	genus	simpson	0.787
XT_D06-NFlex-R1-C	genus	simpson	0.818
XT_D02-NFlex-R1-C	genus	simpson	0.731
XT_D01-NFlex-R1-C	genus	simpson	0.915
XT_D07-NFlex-R1-A	genus	simpson	0.893
XT_D03-NFlex-R1-A	genus	simpson	0.915
XT_D01-NFlex-R1-B	genus	simpson	0.915
Flex_D10-NF-R1	genus	simpson	0.802
Flex_D07-NF-R1	genus	simpson	0.919
Flex_D08-NF-R1	genus	simpson	0.83
Flex_D05-NF-R1	genus	simpson	0.891
Flex_D02-NF-R1	genus	simpson	0.774
Flex_D03-NF-R1	genus	simpson	0.924
Flex_D09-NF-R1	genus	simpson	0.904
Flex_D01-NF-R1	genus	simpson	0.926
Flex_D06-NF-R1	genus	simpson	0.861
Flex_D04-NF-R1	genus	simpson	0.937
XT_D04-NFlex-R1-A	species	shannon	4.766
XT_D06-NFlex-R1-A	species	shannon	4.031
XT_D08-NFlex-R1-C	species	shannon	4.29
XT_D07-NFlex-R1-C	species	shannon	4.376
XT_D10-NFlex-R1-C	species	shannon	4.895
XT_D05-NFlex-R1-C	species	shannon	4.796
XT_D05-NFlex-R1-A	species	shannon	4.775
XT_D05-NFlex-R1-B	species	shannon	4.79
XT_D08-NFlex-R1-B	species	shannon	4.288
XT_D02-NFlex-R1-B	species	shannon	4.366
XT_D07-NFlex-R1-B	species	shannon	4.388
XT_D09-NFlex-R1-B	species	shannon	4.599
XT_D03-NFlex-R1-C	species	shannon	4.403
XT_D01-NFlex-R1-A	species	shannon	4.554
XT_D04-NFlex-R1-C	species	shannon	4.763
XT_D10-NFlex-R1-A	species	shannon	4.901
XT_D06-NFlex-R1-B	species	shannon	4.044
XT_D03-NFlex-R1-B	species	shannon	4.402
XT_D10-NFlex-R1-B	species	shannon	4.89
XT_D09-NFlex-R1-C	species	shannon	4.599
XT_D02-NFlex-R1-A	species	shannon	4.366
XT_D09-NFlex-R1-A	species	shannon	4.599
XT_D04-NFlex-R1-B	species	shannon	4.758
XT_D08-NFlex-R1-A	species	shannon	4.307
XT_D06-NFlex-R1-C	species	shannon	4.032
XT_D02-NFlex-R1-C	species	shannon	4.37
XT_D01-NFlex-R1-C	species	shannon	4.527
XT_D07-NFlex-R1-A	species	shannon	4.37
XT_D03-NFlex-R1-A	species	shannon	4.408
XT_D01-NFlex-R1-B	species	shannon	4.52
Flex_D10-NF-R1	species	shannon	4.83
Flex_D07-NF-R1	species	shannon	4.521
Flex_D08-NF-R1	species	shannon	4.358
Flex_D05-NF-R1	species	shannon	4.847
Flex_D02-NF-R1	species	shannon	4.528
Flex_D03-NF-R1	species	shannon	4.446
Flex_D09-NF-R1	species	shannon	4.539
Flex_D01-NF-R1	species	shannon	4.575
