feature,Sample_Type,estimate,CI_low,CI_high
Firmicutes: Clostridiales: environmental samples,OR,0.001817501,0.000924779,0.003572002
Firmicutes: Clostridiales: environmental samples,OH,0.001864304,0.000971997,0.003575759
Firmicutes: Clostridiales: environmental samples,ZF,0.001762887,0.000967691,0.003211533
Firmicutes: Clostridiales: environmental samples,ZR,0.00185565,0.000987721,0.003486247
Firmicutes: Clostridiales: environmental samples,ZH,0.001963151,0.001052786,0.003660728
Firmicutes: Coprobacillus,NF,0.001787217,0.00079724,0.004006502
Firmicutes: Coprobacillus,OF,0.001346561,0.000576748,0.003143879
Firmicutes: Coprobacillus,OR,0.001219159,0.000557909,0.002664142
Firmicutes: Coprobacillus,OH,0.001036128,0.000468131,0.002293291
Firmicutes: Coprobacillus,ZF,0.001158031,0.000548043,0.002446955
Firmicutes: Coprobacillus,ZR,0.000912103,0.000454927,0.001828717
Firmicutes: Coprobacillus,ZH,0.000763355,0.000359622,0.001620339
Firmicutes: Lachnospira,NF,0.00256496,0.001332542,0.004937197
Firmicutes: Lachnospira,OF,0.001891775,0.000952562,0.003757039
Firmicutes: Lachnospira,OR,0.001302947,0.000703309,0.002413833
Firmicutes: Lachnospira,OH,0.001543396,0.000826937,0.002880596
Firmicutes: Lachnospira,ZF,0.00266974,0.001346732,0.00529245
Firmicutes: Lachnospira,ZR,0.001937138,0.000959343,0.003911536
Firmicutes: Lachnospira,ZH,0.001309828,0.000634161,0.002705385
Firmicutes: Phascolarctobacterium,NF,0.000336375,7.52E-05,0.001504926
Firmicutes: Phascolarctobacterium,OF,0.000283508,5.92E-05,0.001357795
Firmicutes: Phascolarctobacterium,OR,0.000291329,5.82E-05,0.001459324
Firmicutes: Phascolarctobacterium,OH,0.00032657,6.29E-05,0.001694543
Firmicutes: Phascolarctobacterium,ZF,0.00039881,7.99E-05,0.00199147
Firmicutes: Phascolarctobacterium,ZR,0.000460587,8.85E-05,0.002396463
Firmicutes: Phascolarctobacterium,ZH,0.000470318,9.23E-05,0.002397245
Firmicutes: Mitsuokella,NF,3.25E-05,5.09E-06,0.000207549
Firmicutes: Mitsuokella,OF,2.24E-05,3.49E-06,0.000143503
Firmicutes: Mitsuokella,OR,2.33E-05,3.76E-06,0.000145065
Firmicutes: Mitsuokella,OH,2.09E-05,3.72E-06,0.000117645
Firmicutes: Mitsuokella,ZF,3.24E-05,4.39E-06,0.000238503
Firmicutes: Mitsuokella,ZR,3.08E-05,4.33E-06,0.000219423
Firmicutes: Mitsuokella,ZH,3.11E-05,4.68E-06,0.000206024
Firmicutes: Anaerobutyricum,NF,0.002961611,0.002051558,0.004275356
Firmicutes: Anaerobutyricum,OF,0.002352356,0.00169621,0.003262318
Firmicutes: Anaerobutyricum,OR,0.00205019,0.001488855,0.002823161
Firmicutes: Anaerobutyricum,OH,0.001425191,0.000905168,0.002243968
Firmicutes: Anaerobutyricum,ZF,0.002345914,0.001781904,0.003088445
Firmicutes: Anaerobutyricum,ZR,0.001131884,0.000792114,0.001617396
Firmicutes: Anaerobutyricum,ZH,0.00076554,0.00061082,0.00095945
Firmicutes: Butyrivibrio,NF,0.000416414,0.000188626,0.000919287
Firmicutes: Butyrivibrio,OF,0.000328297,0.000149471,0.000721072
Firmicutes: Butyrivibrio,OR,0.000322394,0.000144405,0.000719769
Firmicutes: Butyrivibrio,OH,0.00031831,0.000145372,0.000696983
Firmicutes: Butyrivibrio,ZF,0.000371947,0.000172181,0.000803486
Firmicutes: Butyrivibrio,ZR,0.000357123,0.000154716,0.00082433
Firmicutes: Butyrivibrio,ZH,0.000331486,0.000138545,0.000793118
Firmicutes: unclassified Erysipelotrichaceae,NF,0.000558872,0.000230413,0.001355557
