Sample	Sample_Type	Patient	Relative Abundance: Firmicutes	Relative Abundance: Bacteroidetes
D07-NF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.587144525	0.249830466
D07-OF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.493127106	0.34174336
D07-ZR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.536329071	0.31329556
D07-ZF-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.515925087	0.327428605
D07-OR-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.410041519	0.407385248
D07-ZR-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.500739393	0.341320914
D07-ZR-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.605290607	0.24951602
D07-NF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.649695612	0.191036394
D07-ZH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.469035942	0.363081343
D07-OH-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.647081094	0.217231179
D07-OF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.6109369	0.246188211
D07-ZF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.625206683	0.238098003
D07-OH-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.579541268	0.2661906
D07-OF-R3	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.620606966	0.240290971
D07-ZF-R1	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.573357403	0.277114793
D07-OH-R2	NF_OF_OR_OH_ZF_ZR_ZH	D07	0.608733371	0.244892018
D07-NF-R1	NF_OF_OR_ZF_ZR	D07	0.675113591	0.202615478
D07-OR-R1	NF_OF_OR_ZF_ZR	D07	0.654609681	0.208257498
D07-OR-R3	NF_OF_OR_ZF_ZR	D07	0.580151689	0.268858571
D07-NF-R2	NF_OF_OR_ZF_ZR	D07	0.587144525	0.249830466
D07-OF-R2	NF_OF_OR_ZF_ZR	D07	0.493127106	0.34174336
D07-ZR-R2	NF_OF_OR_ZF_ZR	D07	0.536329071	0.31329556
D07-ZF-R2	NF_OF_OR_ZF_ZR	D07	0.515925087	0.327428605
