XT_D04-NFlex-R1-A	XT_D06-NFlex-R1-A	XT_D08-NFlex-R1-C	XT_D07-NFlex-R1-C	XT_D10-NFlex-R1-C	XT_D05-NFlex-R1-C	XT_D05-NFlex-R1-A	XT_D05-NFlex-R1-B	XT_D08-NFlex-R1-B	XT_D02-NFlex-R1-B	XT_D07-NFlex-R1-B	XT_D09-NFlex-R1-B	XT_D03-NFlex-R1-C	XT_D01-NFlex-R1-A	XT_D04-NFlex-R1-C	XT_D10-NFlex-R1-A	XT_D06-NFlex-R1-B	XT_D03-NFlex-R1-B	XT_D10-NFlex-R1-B	XT_D09-NFlex-R1-C	XT_D02-NFlex-R1-A	XT_D09-NFlex-R1-A	XT_D04-NFlex-R1-B	XT_D08-NFlex-R1-A	XT_D06-NFlex-R1-C	XT_D02-NFlex-R1-C	XT_D01-NFlex-R1-C	XT_D07-NFlex-R1-A	XT_D03-NFlex-R1-A	XT_D01-NFlex-R1-B	Flex_D10-NF-R1	Flex_D07-NF-R1	Flex_D08-NF-R1	Flex_D05-NF-R1	Flex_D02-NF-R1	Flex_D03-NF-R1	Flex_D09-NF-R1	Flex_D01-NF-R1	Flex_D06-NF-R1	Flex_D04-NF-R1
Chthonomonadetes	46	24	16	7	4	32	32	32	8	18	16	14	23	20	35	7	22	15	15	15	19	15	45	11	20	20	27	8	24	15	6	26	31	49	21	42	13	22	16	90
Chloroflexia	170	79	61	53	25	99	105	135	77	86	53	44	117	160	178	25	65	97	17	53	79	46	167	65	57	67	137	54	88	120	52	251	133	216	127	384	50	136	104	424
Thermomicrobia	13	20	6	10	3	35	21	30	6	4	8	15	7	16	10	1	12	6	3	14	11	8	16	10	13	6	4	8	6	10	1	29	11	32	8	9	6	8	14	39
Anaerolineae	655	436	324	294	184	1164	1477	1474	384	484	371	511	365	671	613	193	402	279	232	580	501	481	557	328	312	482	623	332	348	494	354	1590	745	2969	547	1248	547	609	741	1575
Dehalococcoidia	335	185	96	134	115	338	392	397	135	181	201	142	164	370	288	94	173	132	119	151	194	136	345	98	154	161	382	157	142	327	146	723	244	730	270	443	139	322	244	789
Ktedonobacteria	52	33	32	60	40	48	53	55	30	80	45	39	106	217	58	28	24	28	54	52	69	56	61	31	34	99	95	56	36	76	55	337	65	98	113	108	72	139	53	127
Caldilineae	55	23	21	14	11	70	88	73	28	31	13	56	20	39	43	12	19	14	5	63	33	52	39	21	25	17	45	13	21	33	16	111	44	84	33	75	74	39	24	114
Ardenticatenia	7	5	5	5	4	3	7	3	2	1	8	4	1	8	6	1	3	1	2	5	2	2	11	3	5	3	12	7	0	11	0	14	8	6	4	5	3	12	7	16
Thermoflexia	10	8	5	6	0	13	14	14	7	10	8	15	1	12	9	1	7	4	2	21	7	9	9	4	9	4	12	4	1	12	9	33	10	13	8	11	20	8	12	32
Actinobacteria (1760)	1781526	1108761	83686	287316	36376	806572	968452	940097	96791	90706	347170	848506	163121	284680	1604072	37921	1065120	130154	41812	999893	89496	874360	1674478	77345	872933	81074	280813	316640	147972	233392	91050	3045252	227282	1714779	181344	692877	1422828	427071	3068106	4829554
